Generation,Best,Average,Worst,Standard deviation
0.0,447245.49057000666,465911.6784422383,533071.0839567662,22632.496464780972
1.0,443379.86431501934,452759.4674229153,527845.3057505339,14648.86713127802
2.0,439438.71791248186,446404.1515388989,527845.3057505339,8884.01487283392
3.0,435256.72960571945,441920.30190825945,500794.856640761,6103.363136626429
4.0,431747.05396225903,437700.65278716484,499259.12897906656,5363.075909875341
5.0,428237.6511524544,433939.788434733,499259.12897906656,4874.789739919797
6.0,422372.03567655676,430379.40655137564,500834.999944211,5265.265805344245
7.0,418351.53980264673,425075.6789684133,450703.43433748756,4246.271585822673
8.0,414458.4048281033,420585.57182207174,440646.88829564,3766.6976948588767
9.0,410413.32966666634,416627.71571237646,440249.3871142833,3769.8671783653385
10.0,406464.85063373693,412589.78397992556,440249.3871142833,3570.521620126381
11.0,402597.51093182125,408690.941785985,440249.3871142833,3803.446274731005
12.0,399396.03667446313,404755.26278271724,434426.686838531,3561.500012270205
13.0,396239.7552114004,401460.55203950667,434426.686838531,3672.336450733257
14.0,392861.55946801865,398035.5154076974,418480.9114850288,2997.3528855418353
15.0,389475.0389586833,394720.67797804053,414465.52251181944,3044.8823543227677
16.0,386200.7281982303,391312.26849522814,410286.04403989844,3032.1662133323816
17.0,382587.4207276536,388061.1891099637,404632.01743152505,3044.5452522399214
18.0,378851.1191857791,384475.73861985526,402861.087705753,3072.952049145829
19.0,374939.46430155914,380913.49613834254,396645.46445182886,3294.4942665912827
20.0,372224.8272399928,377213.0296905222,398250.90173965663,3729.2901457348203
21.0,369077.4681538874,374045.8499610842,399659.25715374993,3242.898647716099
22.0,365872.7280534697,371030.9232855385,399659.25715374993,3352.4587661286782
23.0,361735.01753409416,367899.1815874227,400016.8946743965,3406.208102975512
24.0,358722.73100367666,363990.7037818143,389383.61828204413,3627.6225417519463
25.0,354752.32789690257,360757.4637905581,382760.2627419215,3391.116360127875
26.0,351104.2654922572,357072.9287849005,382760.2627419215,3866.5911635865164
27.0,347890.6019844691,353250.8846971526,383505.1755573923,3692.75748744649
28.0,345042.2287254832,349836.9587754109,371305.57995505293,3285.817833074841
29.0,342311.0384043486,346929.86877720745,371305.57995505293,3253.2089915960464
30.0,338481.6460834473,344006.54102513305,362659.916089704,2771.9016482746238
31.0,335688.1148893592,340583.99952770566,360921.1453826998,3162.6768160739457
32.0,332690.67898051866,337508.7405298454,353245.3257667718,2935.4039800055243
33.0,329268.3904466882,334472.71900414216,355003.3848884447,2883.652411745281
34.0,326157.0801535073,331299.9027094874,355003.3848884447,3169.3390371998144
35.0,323559.17902033543,328103.6407091189,355003.3848884447,3195.5558631460485
36.0,320263.1449215784,325386.59591902874,344884.12977107434,2962.2605941910574
37.0,315821.1082447895,322348.84512320335,340202.3803425894,3350.987584837591
38.0,312426.24134809384,318322.74218842934,337040.71298020025,3867.2235550455903
39.0,309553.5591550301,314593.93992570095,335688.98964573134,3504.5450547241517
40.0,306167.1738147622,311484.07559378055,333239.1506437096,3170.4699462155518
41.0,302894.16899612354,308283.1838675896,329651.23622921656,3353.3598427719044
42.0,299187.9447272204,304922.0053020263,328616.1281602115,3169.958970756727
43.0,296682.80078556587,301366.8833141417,321824.32339095563,3361.8744844747475
44.0,294576.67807773594,298520.65555217676,316162.68901780096,2927.456629692149
45.0,292193.4490384526,296190.6512821634,315610.40386108955,2774.3460831649277
46.0,290171.5638627856,293757.99747622694,308859.4423905217,2423.832883243993
47.0,286771.25537368393,291915.8834911235,307750.0364764033,2395.816407444736
48.0,283421.49982314475,288822.13579667924,308615.52527055383,3016.984228412486
49.0,280964.88987674174,285487.26729484997,298400.3710248132,3072.359410620225
50.0,278729.8520324817,282825.1304590585,299034.1024727628,2945.043773829813
51.0,276406.1608950235,280489.0560985255,297635.56261030247,2787.8892545324516
52.0,274063.25364044483,278010.185697496,294934.7679096743,2516.677408993697
53.0,271380.90149017103,275690.30960636516,294936.8828232159,2527.5389006664936
54.0,268737.9910649914,273162.7517791678,295881.50902176107,2696.231946318589
55.0,266551.20526692685,270573.29680936906,291565.5766696707,2764.5986303414584
56.0,264901.3864289663,268272.60476472153,291565.5766696707,2721.4129151360153
57.0,262411.1064358415,266351.11106540373,281144.4942715825,2313.7747893847477
58.0,259953.0732446989,264023.0370751953,283051.45465800917,2467.8651142453286
59.0,256975.06677492085,261624.90879192113,283051.45465800917,2628.1760048882907
60.0,253810.7664979743,258827.94923639687,273922.64185230667,2691.526466252373
61.0,251037.11355216472,255869.93523148258,272532.54713332007,3048.320128360176
62.0,248894.68598433348,252968.81455587142,271145.59238744935,2961.050124294187
63.0,245651.34384066777,250555.2517464711,271145.59238744935,2769.9409917947332
64.0,243105.38477650943,247656.58190972725,271145.59238744935,3015.1566605320054
65.0,241145.46709040555,244928.77768638852,263654.8244906218,2819.2427116356153
66.0,239134.63062699718,242799.7067347087,263654.8244906218,2567.9576856517338
67.0,237309.2975699371,240776.7945602796,257583.35834170354,2519.577307666594
68.0,234879.44775221997,238789.6012974532,257583.35834170354,2359.8189444660384
69.0,232412.08351183063,236658.68166029325,252367.27159631913,2692.4994327381087
70.0,230308.06257130342,234240.88347638425,253913.227653656,2632.659926135681
71.0,228637.45527576318,232011.4935686532,249378.80194508756,2529.28655210382
72.0,225553.96914139952,230152.44601635233,247128.47012935672,2343.909798901224
73.0,223662.43744452947,227377.68253995065,243001.5410791709,2581.501738144427
74.0,221695.5313611642,225248.32983469134,240044.32535161232,2473.5583444554422
75.0,219703.4466678874,223238.78236464094,236597.77094011407,2294.809508814954
76.0,217693.580745532,221356.9624555636,238841.82710344324,2503.5706949048244
77.0,215279.90436459635,219257.6532681941,236429.9827084682,2405.1740825740126
78.0,213402.44668379694,217052.44455828363,235317.51085181197,2606.158099725001
79.0,211290.9901463535,215042.96817993294,231812.97843844548,2472.356734819859
80.0,209931.22225995705,212917.91448231594,226890.83208656055,2361.3958702072528
81.0,207156.78409449125,211786.1565855517,223857.34019279628,2287.8496280105287
82.0,204577.92804885184,209128.2449533638,223726.62047032308,2744.8035983509135
83.0,201445.1095863747,206507.79618145546,220543.85766649284,2884.5875138347087
84.0,199447.1227598729,203628.6227512787,219875.3384100358,3214.4442263902815
85.0,197927.16526993483,201204.10373948698,222350.59571418358,2782.6211616575656
86.0,196570.1651133786,199553.05294174358,220175.57509020044,2508.8382674745167
87.0,195104.43844733512,197935.79444013437,220175.57509020044,2175.481453626748
88.0,192750.8514034782,196482.22905420483,210408.72842705098,2040.6888671843617
89.0,191277.8666329496,194445.9696252308,209594.1816371657,2376.0942813887755
90.0,189910.52995036985,192726.20341401867,209805.8565330749,2230.9562927405846
91.0,188606.67795064056,191263.9236933201,212823.4208329469,2106.7859381367994
92.0,186987.81160360732,189973.93359583506,203442.391029225,2108.2703969487
93.0,184673.2082158223,188364.11210815373,201534.86583772182,2085.980920110932
94.0,182058.278078091,186321.177145403,199925.0818559618,2290.079506669094
95.0,180710.41456128986,183902.639032513,201762.88672234773,2616.902034952354
96.0,179398.02166553767,182240.05430107898,199794.7264487564,2339.97521709344
97.0,177931.76700717272,180939.43634578513,193625.24927108226,2310.243608098008
98.0,176257.0033601078,179332.1005369277,194892.53167788993,2122.9466998625594
99.0,173929.20735505235,177679.00524241617,191831.80818944777,2067.7158919683666
100.0,172405.76989995927,175670.7820506603,191831.80818944777,2354.5757634105507
101.0,171025.2318454534,173935.99654729673,192785.94793419138,2294.261634040482
102.0,169513.06239942886,172504.96379023526,186050.43115796967,2150.2298936770776
103.0,168031.97362002425,171020.7948629717,186050.43115796967,2214.746148607969
104.0,166709.7112451917,169470.04091491745,181248.77609361868,2059.7985370342903
105.0,164672.70589868203,168064.6898015335,182004.60277245668,1998.3653677365398
106.0,162942.33441964065,166246.79063203797,180131.01242216968,2242.8117050087667
107.0,161597.39541742287,164573.7504349101,179941.98850830155,2417.809999014055
108.0,160624.51259985004,163002.98808780778,180020.82531333462,2159.0198854638397
109.0,159382.64639211493,161919.87042372758,176900.72116737283,2073.6243242648343
110.0,158059.57279700082,160726.2356949556,172835.1692337366,1986.2395813998435
111.0,156323.36339475488,159444.42845915645,172675.5351470169,2066.2075398103084
112.0,155390.26768348075,157782.54272669772,169185.0428824355,2092.9837236496437
113.0,153915.8456766074,156721.57069260612,170433.5567202888,2058.0677854029
114.0,152735.4221131627,155352.3238989804,171632.21131752402,2120.7000225218135
115.0,151353.79922729186,154100.51864844523,173271.51750685996,2105.018839508817
116.0,150176.24979841555,152765.92468997033,167276.08153431906,2027.6154388893995
117.0,148971.2392244172,151557.74808562768,164274.79006951783,1995.15358607231
118.0,147581.4054112938,150351.5207102435,164274.79006951783,2054.8803869496705
119.0,146356.05013454767,148953.79796441764,162156.40368969314,2032.9117949136808
120.0,144926.09950937046,147729.3581671684,163413.51681340576,2043.9948182047797
121.0,143530.77900674005,146399.92967350277,156224.76170732576,2124.299284173194
122.0,142174.46433435043,145054.02559399168,159142.86347353665,2312.157730794544
123.0,140837.64287837938,143723.85504364086,159923.74576680118,2296.167842570775
124.0,139724.01530658526,142324.37557283073,156250.61927222813,2178.101495174405
125.0,138868.48699303105,141121.3676706722,153847.46641042543,2045.6400667112919
126.0,137952.95343839435,140181.66247269703,156548.40101373964,2136.4272482130023
127.0,136741.98114223886,139336.82815295635,154560.43313240152,2136.3684852791685
128.0,136276.8623971971,138103.04151085674,153847.46641042543,2063.799991849957
129.0,134253.09845685374,137427.45051174707,153847.46641042543,1856.5034751069531
130.0,133560.26909926353,135838.52958058837,153847.46641042543,2247.3327348214398
131.0,131932.94633216728,134796.08197711656,150476.70788037972,1967.019598859085
132.0,131052.32961591992,133460.66472502783,153929.83168886532,2190.238826492632
133.0,129728.10385924134,132392.7669093036,145480.80648219207,1955.0072336519675
134.0,128618.19523221794,131118.66045833926,143978.05639467455,2018.5885605376448
135.0,127936.54338929338,130008.70549234436,142063.4567883436,2044.4404926961813
136.0,126797.29233348211,129148.69085762251,140681.07559529072,1958.499828029302
137.0,125778.07659392229,128043.4975122763,140123.92886953359,1796.4651129736642
138.0,124600.39981424132,127024.33371224276,137839.89053705643,1805.1592796380894
139.0,122640.77881456372,125898.30353996556,141887.7035882327,1925.7673863952111
140.0,121435.23003545981,124254.66753561371,136811.18218296085,2103.743343636259
141.0,120532.1993308385,122954.29090251752,137707.16380263286,2192.8246610303636
142.0,119196.39470521249,121828.44720911568,136390.35573262407,1969.5959363429745
143.0,117885.0444501729,120606.6136595919,136390.35573262407,2004.572045521972
144.0,117231.30584147536,119331.97361486094,131446.2904031672,2023.2623249064027
145.0,116608.89572659945,118470.59958094003,130469.10833234196,1904.324516749037
146.0,115823.50441387661,117771.78061296807,128684.89023962127,1798.9279029253396
147.0,115045.5329616079,117032.80568612264,127799.25811025473,1828.2151027842085
148.0,114240.10784248148,116237.64907625101,127349.79284887204,1765.630618793415
149.0,112904.20411975087,115417.99679950325,130345.63839419241,1784.1086532347188
150.0,111999.78108418234,114277.94489773063,124420.54211762596,1909.6064423748026
151.0,110896.28959578507,113277.45484932512,122801.93514023618,1854.0752871793852
152.0,110079.00137999731,112301.6337700365,122651.71994655636,1979.4293600224714
153.0,109407.84038917815,111350.02059654811,122361.15579902798,1885.7685093238495
154.0,108936.5499023728,110587.37359467057,120340.69046711821,1778.4230855836697
155.0,107514.38894037403,110035.24666119064,121374.7340393371,1718.0152264630465
156.0,106620.4581811368,108874.82544671706,121374.7340393371,1931.5131687190235
157.0,105932.09287961478,107893.3057753802,121374.7340393371,1837.964964206531
158.0,105038.2291092224,107224.59259495886,125430.43371149969,1990.9435903021429
159.0,104626.5630236276,106293.20108514979,121374.7340393371,1873.327531069232
160.0,104094.35736166955,105791.30612981983,121374.7340393371,1866.6904204786408
161.0,102527.95909287965,105147.1631626868,117421.3240511883,1689.794564690341
162.0,101792.56113234012,103985.80526601219,117421.3240511883,1964.8740468340807
163.0,100754.12779437161,103098.10139339026,112743.14279094416,1942.8480440257006
164.0,100429.58056567899,102124.25338258801,112938.43232366798,1979.3488652651808
165.0,99877.77302725484,101590.68802884959,112843.59987021807,1861.0261475143172
166.0,99287.15558713513,101021.83653357657,110999.49477440055,1713.3240296139588
167.0,98362.88961284935,100368.49875712303,110999.49477440055,1662.0746458325664
168.0,97384.03840179245,99614.96156072099,110999.49477440055,1768.1717766802667
169.0,96822.0311521938,98742.2844845676,110999.49477440055,1945.6594590087143
170.0,96294.06741476049,98059.77426120301,110617.32921544793,1876.6184829512993
171.0,95571.21189777135,97473.95448648898,110617.32921544793,1822.1283932745246
172.0,94898.04898457251,96727.2285242066,111419.61014014705,1735.5720571902773
173.0,94326.09614399921,96017.86623649366,111419.61014014705,1717.545493941296
174.0,92562.0900170293,95510.04143275128,111535.99679241668,1829.7591497507167
175.0,92030.42887332958,94163.31818267563,105558.22828860233,2075.1618131270384
176.0,91344.30527340739,93410.07813834501,102546.71969682198,1883.5071145692234
177.0,90789.99486340252,92588.0240441732,102546.89140113634,1824.7957225819798
178.0,90492.97670360905,91961.91693262696,102226.93831736523,1803.0475554939278
179.0,90180.15899643028,91539.34401967685,100577.83584307892,1635.9356141797164
180.0,89595.90763981818,91217.60021928247,100269.86029466656,1612.3848685639125
181.0,88828.55010397494,90741.1855882819,100050.96254937162,1713.4668783304066
182.0,88331.04363572184,90041.56995893238,100263.07601063437,1759.244274387073
183.0,87852.6052346694,89494.80230106591,100667.58850900547,1764.8072431489998
184.0,87438.73176163225,89021.06061211939,100263.07601063437,1741.3771454256234
185.0,86992.09746120434,88740.79980534651,100568.26358842594,1798.8775254479044
186.0,85585.6363873297,88174.6427645818,100693.68219711444,1818.0891298338452
187.0,85015.18582532277,87025.3785543591,99385.34938926934,1994.688711469711
188.0,84349.68198214419,86296.85934277857,99385.34938926934,1980.9000712135817
189.0,83623.56966228555,85604.04748725655,99385.34938926934,1939.4177139751455
190.0,82927.38570512415,84886.32408446174,98369.26129770282,1854.3525529089277
191.0,82414.05182312804,84197.38183834816,95814.67561499777,1855.7377923635233
192.0,82005.64338925196,83604.52346847414,93098.16392808023,1776.0807416494615
193.0,81415.95682304808,83639.74184286277,93209.17519492896,2026.3976929818778
194.0,80931.07930572241,82798.78093752597,94551.32364413046,2021.8506739585903
195.0,80435.84676793969,82185.90477013908,96628.95793937889,1926.7031993954652
196.0,79466.06214873196,81759.13223197655,96628.95793937889,1877.9874547172385
197.0,79118.25151140995,80804.69087325151,89890.05288654195,1877.959733941172
198.0,78762.82977433434,80312.70122619095,91078.1271543059,1774.5029783477075
199.0,78299.96130335564,79879.45278656528,89798.37732780504,1766.9255414555603
200.0,77962.14052667629,79487.5058001235,89798.37732780504,1815.6706589262328
201.0,77316.61181715371,79121.67653850881,89648.15282516011,1795.7838162743456
202.0,76927.59468345421,78568.39687504513,89422.54592118358,1867.5503994284268
203.0,76457.8956859914,78111.64770843029,89648.35275171287,1793.0765948744165
204.0,75791.02078741595,77604.26297108427,87434.64383040118,1775.437024953409
205.0,75501.9509960203,76962.18385168104,88831.33123729259,1741.160145072586
206.0,75086.9211122679,76590.16736722029,88831.33123729259,1728.8669333701575
207.0,74580.88112688248,76232.8053270621,88831.33123729259,1799.7560759456712
208.0,74155.4980736877,75713.1734716392,91080.3956356806,1786.0031640669406
209.0,73999.3385388663,75306.0333184467,86826.6732019047,1750.5758930263448
210.0,73750.81751293044,75124.92180762756,86826.6732019047,1703.0835546429553
211.0,73258.81798517557,74834.61157868707,86826.6732019047,1719.6890137241717
212.0,72720.39448590181,74424.61097912965,84357.0953470287,1757.404558446086
213.0,71930.03492581684,73906.14600153701,84357.0953470287,1779.097833809979
214.0,71768.31471112576,73219.69948456404,86472.50088566075,1887.6567028955967
215.0,71465.60661339757,72908.10690058347,82333.93911148305,1815.2372419700266
216.0,70715.51768595504,72589.21901975817,83405.38019892172,1750.6804669605754
217.0,70366.33998604037,71946.08858462604,80377.58557382492,1756.0749081972858
218.0,70214.03024361432,71543.69367011507,80377.58557382492,1794.5223770601915
219.0,69826.42384229426,71202.06405894348,80459.97228412754,1635.8935345927214
220.0,69149.26588214189,70964.26933856419,82469.05693677395,1735.0332357325128
221.0,68617.07480085392,70319.35251642829,85250.46217246582,1766.8801627656514
222.0,68021.9882791458,69785.50703957625,85922.24898388964,1802.240910740731
223.0,67311.91336301436,69206.17481634147,80922.37325045042,1775.4752848058793
224.0,66599.37729067731,68579.7388506012,79406.71763532356,1836.3208126833829
225.0,66434.37057230948,67823.10945324367,78879.21699435997,1803.9503157723098
226.0,66162.39635472381,67525.93972604557,79563.80622633925,1801.4600369732227
227.0,66026.50182984576,67265.79171886265,80054.68941944677,1781.2302657793261
228.0,65707.07191543232,67345.3970245904,80861.17999276947,1931.860648807802
229.0,65143.000308290306,66881.40335612319,78167.64210782031,1809.1774731725602
230.0,64724.299409687635,66331.76668780942,77150.37578381578,1716.1800241324215
231.0,64421.504507740145,65884.58911448628,73390.03047284708,1697.1260196342337
232.0,64255.61967475046,65503.24096119402,73580.58597297836,1639.6327058340048
233.0,63747.09207233293,65390.10352461143,74736.22669600963,1780.788800351549
234.0,63439.399461473935,64881.81302726989,74224.77868648196,1772.2775567830877
235.0,63174.6294587219,64540.102107846615,75446.77121700365,1736.0127727461515
236.0,62689.73218879973,64209.176777300236,78446.4562200683,1750.26081543549
237.0,62313.079967397476,63822.76730160128,72375.73826916813,1706.8061206535835
238.0,62172.497720766354,63444.295831914766,72100.52319257222,1699.449386411612
239.0,60687.38814565121,63184.71510703316,73090.39354371594,1630.1451711317893
240.0,60288.397050025356,62122.18860396466,71155.74621597074,1874.5026162155903
241.0,60075.57105002618,61514.54624493546,72051.73293765893,1799.8893035298051
242.0,59818.20261563398,61168.74042864462,69775.2375897316,1760.4693536571256
243.0,59007.135091998825,60993.497800104575,72108.45897598233,1815.7594854589847
244.0,58913.23711563734,60252.20591590365,72108.45897598233,1820.6923691817408
245.0,58657.84817940356,60029.8519433165,71855.18962222304,1755.4884587345234
246.0,57990.59764215891,59673.05103923566,68834.04063861117,1629.527311315955
247.0,57500.74905344112,59194.389180836406,69876.801318756,1759.7110576391199
248.0,57310.01728346577,58684.3771976015,73470.22718189837,1780.8273273820057
249.0,56986.28044776738,58478.060267988316,72335.9566900727,1827.752617039394
250.0,56864.657755266344,58157.4433675284,72335.9566900727,1771.8324957364105
251.0,56632.81465909006,57910.72091318563,71558.19079635756,1684.577486188197
252.0,56484.68644635268,57672.29764263492,69282.2243846552,1654.7596682039582
253.0,56356.69422511408,57553.29178361238,68990.76870528376,1721.1167535987106
254.0,56230.77557851668,57358.53203482096,68279.39010059604,1634.7693460697742
255.0,56125.48581532128,57274.40548708724,65668.14731603704,1673.4363135618323
256.0,55973.33788633851,57142.40784278501,65365.52252745373,1609.7078998822071
257.0,55757.73441524445,57166.12794568526,66906.37221805024,1723.4335653930086
258.0,55640.66540883309,56837.152615681254,66166.84297478502,1682.4005226554627
